dish,ingredients,recipe_steps,region,cooking_time,image_url
Lemon Rice,"rice, lemon, turmeric, mustard seeds, curry leaves","Cook rice. Heat oil, add mustard seeds, curry leaves, turmeric, and lemon juice. Mix with rice.",South Indian,15 minutes,https://upload.wikimedia.org/wikipedia/commons/6/68/Lemon_Rice.JPG
Shakshuka,"eggs, tomatoes, bell pepper, onion, garlic","Sauté vegetables, add tomatoes and spices, simmer, crack eggs on top, cover until set.",Middle Eastern,25 minutes,https://upload.wikimedia.org/wikipedia/commons/2/2e/Shakshuka.jpg
Paella,"rice, saffron, chicken, seafood, peas","Sauté meats, add rice and saffron broth, cook uncovered until done.",Spanish,40 minutes,https://upload.wikimedia.org/wikipedia/commons/4/47/Paella_de_marisco_01.jpg
Green Thai Curry,"coconut milk, green curry paste, chicken, basil, vegetables","Sauté curry paste, add meat, pour coconut milk, simmer with vegetables and basil.",Thai,30 minutes,https://upload.wikimedia.org/wikipedia/commons/8/8a/Green_curry_dish.jpg
Spaghetti Carbonara,"spaghetti, eggs, pancetta, parmesan, black pepper","Cook pasta, fry pancetta, mix eggs and cheese, combine all off heat.",Italian,20 minutes,https://upload.wikimedia.org/wikipedia/commons/3/33/Spaghetti_alla_Carbonara.jpg
Lemon Rice,"rice, lemon, turmeric, mustard seeds, curry leaves","Cook rice. Heat oil, add mustard seeds, curry leaves, turmeric, and lemon juice. Mix with rice.",South Indian,15 minutes,https://upload.wikimedia.org/wikipedia/commons/6/68/Lemon_Rice.JPG
Shakshuka,"eggs, tomatoes, bell pepper, onion, garlic","Sauté vegetables, add tomatoes and spices, simmer, crack eggs on top, cover until set.",Middle Eastern,25 minutes,https://upload.wikimedia.org/wikipedia/commons/2/2e/Shakshuka.jpg
Paella,"rice, saffron, chicken, seafood, peas","Sauté meats, add rice and saffron broth, cook uncovered until done.",Spanish,40 minutes,https://upload.wikimedia.org/wikipedia/commons/4/47/Paella_de_marisco_01.jpg
Green Thai Curry,"coconut milk, green curry paste, chicken, basil, vegetables","Sauté curry paste, add meat, pour coconut milk, simmer with vegetables and basil.",Thai,30 minutes,https://upload.wikimedia.org/wikipedia/commons/8/8a/Green_curry_dish.jpg
Spaghetti Carbonara,"spaghetti, eggs, pancetta, parmesan, black pepper","Cook pasta, fry pancetta, mix eggs and cheese, combine all off heat.",Italian,20 minutes,https://upload.wikimedia.org/wikipedia/commons/3/33/Spaghetti_alla_Carbonara.jpg
Lemon Rice,"rice, lemon, turmeric, mustard seeds, curry leaves","Cook rice. Heat oil, add mustard seeds, curry leaves, turmeric, and lemon juice. Mix with rice.",South Indian,15 minutes,https://upload.wikimedia.org/wikipedia/commons/6/68/Lemon_Rice.JPG
Shakshuka,"eggs, tomatoes, bell pepper, onion, garlic","Sauté vegetables, add tomatoes and spices, simmer, crack eggs on top, cover until set.",Middle Eastern,25 minutes,https://upload.wikimedia.org/wikipedia/commons/2/2e/Shakshuka.jpg
Paella,"rice, saffron, chicken, seafood, peas","Sauté meats, add rice and saffron broth, cook uncovered until done.",Spanish,40 minutes,https://upload.wikimedia.org/wikipedia/commons/4/47/Paella_de_marisco_01.jpg
Green Thai Curry,"coconut milk, green curry paste, chicken, basil, vegetables","Sauté curry paste, add meat, pour coconut milk, simmer with vegetables and basil.",Thai,30 minutes,https://upload.wikimedia.org/wikipedia/commons/8/8a/Green_curry_dish.jpg
Spaghetti Carbonara,"spaghetti, eggs, pancetta, parmesan, black pepper","Cook pasta, fry pancetta, mix eggs and cheese, combine all off heat.",Italian,20 minutes,https://upload.wikimedia.org/wikipedia/commons/3/33/Spaghetti_alla_Carbonara.jpg
Lemon Rice,"rice, lemon, turmeric, mustard seeds, curry leaves","Cook rice. Heat oil, add mustard seeds, curry leaves, turmeric, and lemon juice. Mix with rice.",South Indian,15 minutes,https://upload.wikimedia.org/wikipedia/commons/6/68/Lemon_Rice.JPG
Shakshuka,"eggs, tomatoes, bell pepper, onion, garlic","Sauté vegetables, add tomatoes and spices, simmer, crack eggs on top, cover until set.",Middle Eastern,25 minutes,https://upload.wikimedia.org/wikipedia/commons/2/2e/Shakshuka.jpg
Paella,"rice, saffron, chicken, seafood, peas","Sauté meats, add rice and saffron broth, cook uncovered until done.",Spanish,40 minutes,https://upload.wikimedia.org/wikipedia/commons/4/47/Paella_de_marisco_01.jpg
Green Thai Curry,"coconut milk, green curry paste, chicken, basil, vegetables","Sauté curry paste, add meat, pour coconut milk, simmer with vegetables and basil.",Thai,30 minutes,https://upload.wikimedia.org/wikipedia/commons/8/8a/Green_curry_dish.jpg
Spaghetti Carbonara,"spaghetti, eggs, pancetta, parmesan, black pepper","Cook pasta, fry pancetta, mix eggs and cheese, combine all off heat.",Italian,20 minutes,https://upload.wikimedia.org/wikipedia/commons/3/33/Spaghetti_alla_Carbonara.jpg
Lemon Rice,"rice, lemon, turmeric, mustard seeds, curry leaves","Cook rice. Heat oil, add mustard seeds, curry leaves, turmeric, and lemon juice. Mix with rice.",South Indian,15 minutes,https://upload.wikimedia.org/wikipedia/commons/6/68/Lemon_Rice.JPG
